title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Homefront,Action,9.896704,22,43,21,11/27/2013,100,6.4,898,
Beastly,Drama,7.364563,17,43,26,1/21/2011,86,5.9,878,
Boogie Nights,Drama,7.595679,15,43,28,9/11/1997,155,7.5,812,
Heartbreak Ridge,Action,7.390012,15,43,28,12/15/1986,130,6.5,270,
Would I Lie to You? 2,Comedy,4.052991,13,43,30,2/7/2001,105,6.4,81,Would I Lie to You? Collection
Harold & Kumar Escape from Guantanamo Bay,Comedy,13.065315,12,43,31,4/25/2008,107,6.2,508,Harold & Kumar Collection
Crank,Action,12.627593,12,43,31,8/31/2006,88,6.6,1172,Crank Collection
Escape from Alcatraz,Crime,11.837667,8,43,35,6/22/1979,111,7.3,581,
Mannequin,Fantasy,8.525782,6,43,37,2/13/1987,89,5.5,130,Mannequin Collection
Kokowaah,Comedy,5.24461,6,43,37,2/2/2011,123,6.4,103,KokowÃ¤Ã¤h Filmreihe
The Girl Who Kicked the Hornet's Nest,Action,8.405013,4,43,39,11/27/2009,147,7,451,The Millennium Collection
The Longest Yard,Crime,9.460843,3,43,40,8/21/1974,121,6.4,71,
Lady in the Water,Drama,8.704554,75,42,-33,7/21/2006,110,5.3,415,
The Love Guru,Comedy,6.258666,62,42,-20,6/20/2008,87,4.3,243,
Ronin,Action,9.672094,55,42,-13,9/25/1998,122,6.8,670,
Oliver Twist,Crime,12.369935,50,42,-8,9/23/2005,130,6.7,283,
Escape from L.A.,Action,12.229381,50,42,-8,8/9/1996,97,5.6,381,Escape From ... Collection
Bangkok Dangerous,Action,6.576009,45,42,-3,8/21/2008,99,5,336,
The Guilt Trip,Comedy,7.479014,40,42,2,12/19/2012,95,5.4,287,
Aliens vs Predator: Requiem,Fantasy,10.793324,40,42,2,12/25/2007,94,4.9,758,AVP Collection
Donnie Brasco,Crime,12.201954,35,42,7,2/27/1997,127,7.4,1175,
A Good Year,Comedy,7.82187,35,42,7,9/9/2006,118,6.5,360,
